volatile acidity,citric acid,chlorides,sulphates,alcohol,quality
0.7,0,0.076,0.56,9.4,5
0.88,0,0.098,0.68,9.8,5
0.76,0.04,0.092,0.65,9.8,5
0.28,0.56,0.075,0.58,9.8,6
0.7,0,0.076,0.56,9.4,5
0.66,0,0.075,0.56,9.4,5
0.6,0.06,0.069,0.46,9.4,5
0.65,0,0.065,0.47,10,7
0.58,0.02,0.073,0.57,9.5,7
0.5,0.36,0.071,0.8,10.5,5
0.58,0.08,0.097,0.54,9.2,5
0.5,0.36,0.071,0.8,10.5,5
0.615,0,0.089,0.52,9.9,5
0.61,0.29,0.114,1.56,9.1,5
0.62,0.18,0.176,0.88,9.2,5
0.62,0.19,0.17,0.93,9.2,5
0.28,0.56,0.092,0.75,10.5,7
0.56,0.28,0.368,1.28,9.3,5
0.59,0.08,0.086,0.5,9,4
0.32,0.51,0.341,1.08,9.2,6
0.22,0.48,0.077,0.53,9.4,6
0.39,0.31,0.082,0.65,9.7,5
0.43,0.21,0.106,0.91,9.5,5
0.49,0.11,0.084,0.53,9.4,5
0.4,0.14,0.085,0.63,9.7,6
0.39,0.16,0.08,0.56,9.3,5
0.41,0.24,0.08,0.59,9.5,5
0.43,0.21,0.106,0.91,9.5,5
0.71,0,0.08,0.55,9.4,5
0.645,0,0.082,0.59,9.8,6
0.675,0.07,0.089,0.54,10.1,5
0.685,0,0.105,0.57,10.6,6
0.655,0.12,0.083,0.66,9.8,5
0.605,0.12,0.073,0.52,9.4,6
0.32,0.25,0.103,0.55,9.2,5
0.645,0,0.086,0.55,9.6,6
0.6,0.14,0.086,0.6,10.8,6
0.38,0.28,0.066,0.73,9.7,7
1.13,0.09,0.172,0.48,9.8,4
0.45,0.36,0.074,0.83,10.5,5
0.45,0.36,0.074,0.83,10.5,5
0.61,0.3,0.088,0.51,9.3,4
0.49,0.2,0.332,0.9,10.5,6
0.66,0.22,0.069,1.2,10.3,5
0.67,0.02,0.05,0.52,9.5,5
0.52,0.15,0.054,0.56,13.1,4
0.935,0.43,0.114,0.73,9.2,5
0.29,0.52,0.113,0.58,9.5,5
0.4,0.23,0.066,0.56,9.2,5
0.31,0.37,0.074,0.58,9.2,5
0.66,0.26,0.074,0.74,9.2,5
0.52,0.04,0.069,0.63,9.4,6
0.5,0.04,0.068,0.64,9.4,6
0.38,0.36,0.081,0.56,9.4,5
0.51,0.15,0.11,0.63,10.2,6
0.62,0.04,0.084,0.53,9.5,5
0.42,0.57,0.07,0.63,9.6,5
0.63,0.12,0.111,0.77,9.4,5
0.59,0.18,0.076,0.59,10,5
0.39,0.31,0.074,0.54,9.4,6
0.4,0.4,0.079,0.64,9.2,5
0.69,0.49,0.115,0.71,9.3,5
0.52,0.16,0.085,0.62,9.5,7
0.735,0.05,0.081,0.57,9.8,5
0.725,0.05,0.086,0.39,10.9,5
0.725,0.05,0.086,0.39,10.9,5
0.52,0.11,0.079,0.58,9.6,5
0.705,0.07,0.076,0.58,10.7,5
0.32,0.57,0.074,0.79,10.7,5
0.705,0.05,0.074,0.95,10.5,6
0.63,0.08,0.076,0.54,9.5,6
0.67,0.23,0.088,0.48,9.5,5
0.69,0.22,0.084,0.48,9.5,5
0.675,0.26,0.084,0.53,9.2,4
0.32,0.54,0.094,0.82,9.6,5
0.41,0.64,0.093,0.66,10.5,5
0.41,0.64,0.093,0.66,10.5,5
0.785,0,0.104,0.55,10.7,6
0.75,0.12,0.086,0.52,10.1,5
0.625,0.2,0.08,1.12,9.1,4
0.45,0.2,0.069,0.56,9.2,5
0.43,0.7,0.464,1.28,9.4,5
0.5,0.47,0.086,0.57,9.1,5
0.67,0.26,0.401,1.14,9.4,5
0.3,0.48,0.069,0.78,10.3,6
0.55,0.15,0.076,0.59,10.1,5
0.49,0.28,0.11,1.95,9.9,6
0.49,0.26,0.062,0.64,9.6,5
0.39,0.44,0.107,1.22,9.5,5
0.62,0.08,0.076,0.53,9,5
0.52,0.26,0.079,0.54,9.5,5
0.49,0.28,0.11,1.95,9.9,6
0.49,0.29,0.11,1.98,9.8,5
0.49,0.26,0.062,0.64,9.6,5
1.02,0.04,0.045,0.48,10.5,4
0.6,0.17,0.058,0.6,12.9,6
0.775,0,0.102,0.56,10.7,5
0.5,0.25,0.07,0.63,9.2,5
0.9,0.06,0.079,0.56,9.8,5
0.545,0.18,0.08,0.59,9,6
0.61,0.3,0.084,0.61,10.2,6
0.5,0.3,0.075,0.56,10.4,6
0.545,0.18,0.08,0.59,9,6
0.575,0.22,0.077,0.51,9.2,5
0.49,0.24,0.07,0.48,9.4,5
0.575,0.22,0.077,0.51,9.2,5
0.41,0.68,0.467,1.31,9.3,5
0.63,0.31,0.088,0.79,9.3,5
0.33,0.53,0.091,0.8,9.6,6
0.785,0.52,0.122,0.69,9.3,5
0.56,0.19,0.104,0.93,9.5,5
0.62,0.09,0.084,0.66,9.8,5
0.6,0.1,0.085,0.66,9.8,5
